"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
34;"technician";"married";"tertiary";"no";297;"yes";"no";"cellular";29;"jan";375;2;-1;0;"unknown";"0"
49;"services";"married";"secondary";"no";180;"yes";"yes";"unknown";2;"jun";392;3;-1;0;"unknown";"0"
38;"admin.";"single";"secondary";"no";262;"no";"no";"cellular";3;"feb";315;2;180;6;"failure";"1"
47;"services";"married";"secondary";"no";367;"yes";"no";"cellular";12;"may";309;1;306;4;"success";"1"
51;"self-employed";"single";"secondary";"no";1640;"yes";"no";"unknown";15;"may";67;4;-1;0;"unknown";"0"
40;"unemployed";"married";"secondary";"no";3382;"yes";"no";"unknown";14;"may";125;1;-1;0;"unknown";"0"
58;"retired";"married";"secondary";"no";1227;"no";"no";"cellular";14;"aug";182;2;37;2;"failure";"0"
32;"unemployed";"married";"primary";"no";309;"yes";"no";"telephone";13;"may";185;1;370;3;"failure";"0"
46;"blue-collar";"married";"secondary";"no";922;"yes";"no";"telephone";18;"nov";296;2;-1;0;"unknown";"0"
32;"services";"married";"tertiary";"no";0;"no";"no";"cellular";21;"nov";80;1;-1;0;"unknown";"0"
32;"services";"married";"secondary";"no";414;"yes";"no";"cellular";3;"feb";236;2;272;1;"failure";"0"
50;"blue-collar";"married";"primary";"no";0;"no";"no";"unknown";9;"jun";199;4;-1;0;"unknown";"0"
41;"management";"married";"tertiary";"no";2226;"no";"no";"cellular";7;"aug";182;2;99;1;"failure";"1"
38;"services";"divorced";"primary";"no";0;"yes";"no";"cellular";20;"nov";250;1;155;2;"failure";"0"
31;"self-employed";"married";"tertiary";"yes";147;"yes";"no";"cellular";11;"may";12;5;-1;0;"unknown";"0"
42;"admin.";"single";"secondary";"no";283;"yes";"no";"unknown";19;"jun";446;1;-1;0;"unknown";"0"
56;"retired";"married";"primary";"no";-1;"no";"no";"cellular";27;"aug";89;23;-1;0;"unknown";"0"
54;"management";"divorced";"unknown";"no";901;"no";"no";"unknown";20;"jun";7;3;-1;0;"unknown";"0"
42;"management";"married";"secondary";"no";372;"yes";"no";"telephone";31;"jul";130;8;-1;0;"unknown";"0"
58;"services";"married";"secondary";"no";627;"no";"no";"cellular";13;"aug";110;4;-1;0;"unknown";"0"
51;"admin.";"married";"tertiary";"no";26;"yes";"no";"telephone";28;"aug";51;3;-1;0;"unknown";"0"
44;"management";"married";"secondary";"no";438;"yes";"no";"telephone";9;"jul";42;1;-1;0;"unknown";"0"
51;"management";"single";"unknown";"no";-461;"yes";"no";"unknown";28;"may";33;2;-1;0;"unknown";"0"
41;"management";"married";"tertiary";"no";-195;"no";"yes";"cellular";20;"nov";112;1;-1;0;"unknown";"0"
57;"technician";"married";"secondary";"no";16063;"yes";"no";"unknown";30;"may";352;3;-1;0;"unknown";"0"
32;"management";"single";"tertiary";"no";3097;"yes";"no";"cellular";20;"nov";167;1;-1;0;"unknown";"0"
32;"management";"married";"tertiary";"no";1232;"no";"no";"cellular";25;"aug";97;4;-1;0;"unknown";"0"
45;"management";"married";"tertiary";"no";4693;"no";"yes";"cellular";9;"jul";148;2;-1;0;"unknown";"0"
56;"entrepreneur";"married";"secondary";"no";196;"no";"no";"cellular";19;"nov";312;3;-1;0;"unknown";"0"
38;"technician";"married";"secondary";"no";0;"yes";"no";"unknown";21;"may";73;1;-1;0;"unknown";"0"
54;"self-employed";"married";"tertiary";"no";990;"no";"no";"cellular";3;"jun";244;2;-1;0;"unknown";"1"
53;"unemployed";"single";"primary";"no";183;"no";"no";"cellular";9;"jun";835;2;-1;0;"unknown";"0"
36;"management";"single";"tertiary";"no";219;"no";"no";"cellular";3;"feb";22;6;196;6;"failure";"0"
