id;colour wine;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1;white;5;0,61;0,12;1,3;0,009;65;100;0,9874;3,26;0,37;13.5;NA
2;red;6,7;0,28;0,28;2,4;0,012;36;100;0,99064;3,26;0,39;11.7;7
3;red;6,7;0,28;0,28;2,4;0,012;36;100;0,99064;3,26;NA;11.7;7
4;white;6,7;NA;0,28;2,4;0,012;36;100;0,99064;3,26;0,39;11.7;7,456
5;white;4,8;0,65;0,12;1,1;0,013;4;10;0,99246;3,32;0,36;13.5;4
6;white;7,4;0,27;0,31;2,4;0,014;15;143;0,99094;3,03;0,65;12;4
7;white;6,5;0,44;0,47;5,45;0,014;44;137;0,98984;3,13;0,32;13;8,34
8;white;6,4;0,29;0,32;2,4;0,014;34;89;0,99008;3,24;0,66;12.5;7,456
9;white;5,8;0,3;0,27;1,7;0,014;45;104;0,98914;3,4;0,56;12.6;7,456
10;white;7;0,36;0,25;5,7;0,015;14;73;0,98963;2,82;0,59;13.2;6
11;white;7,8;0,19;0,32;7,4;0,015;47;124;0,99278;2,99;0,39;11;6
12;white;NA;0,19;0,32;7,4;0,015;47;124;0,99278;2,99;0,39;11;6
13;white;5;0,2;0,4;1,9;0,015;20;NA;0,9897;3,37;0,55;12.05;6
14;white;7,3;0,4;NA;5,45;0,016;26;90;0,98951;2,84;0,54;13.2;7,456
15;white;7,8;0,2;0,32;5;0,016;31;NA;0,99186;2,99;0,39;11;6
16;white;6,1;0,38;0,42;5;0,016;31;113;0,99007;3,15;0,31;12.4;7,456
17;white;6,9;0,28;0,41;NA;0,016;6;55;0,98876;3,16;0,4;13.4;5
18;white;4,9;0,33;0,31;1,2;0,016;39;150;0,98713;3,33;0,59;14;8,34
19;white;7,4;0,36;0,23;1,9;0,017;31;69;0,9892;2,93;0,36;12.5;6
20;white;6,7;0,39;0,24;2,7;0,017;22;80;0,99084;3,03;0,37;11.5;5
21;white;6,7;0,13;0,32;3,7;0,017;32;99;0,99348;3,12;0,44;10;6
22;white;8,8;0,2;0,28;1,1;0,018;18;72;0,9926;2,97;0,35;10.4;5,786
23;white;7,1;0,12;0,3;3,1;0,018;15;37;0,99004;3,02;0,52;11.9;7,456
24;white;7,1;0,12;0,3;3,1;0,018;15;37;0,99004;3,02;0,52;11.9;7,456
25;white;6,2;0,23;0,23;1,2;0,018;NA;128;0,99178;3,05;0,28;10.6;5
26;white;7,3;0,22;0,31;2,3;0,018;45;80;0,98936;3,06;0,34;12.9;7,456
27;white;7,6;0,27;0,3;9,2;0,018;23;96;0,9938;3,08;0,29;11;6
28;white;8,7;0,3;0,34;4,8;0,018;23;127;0,99474;3,12;0,49;11.2;7,456
29;white;6,5;0,33;0,28;6,1;0,018;41;103;0,99122;3,24;0,32;12.2;6
30;white;6,5;0,33;0,28;6,1;0,018;41;103;0,99122;3,24;0,32;12.2;6
31;white;6,9;0,36;0,34;4,2;0,018;57;119;0,9898;3,28;0,36;12.7;NA
32;white;6,2;0,19;0,38;5,1;0,019;22;82;0,98961;3,05;0,36;12.5;6
33;white;5,7;0,28;0,28;2,2;0,019;15;65;0,9902;3,06;0,52;11.2;6
34;white;7,1;0,36;0,37;4,8;0,019;39;114;0,99036;3,08;0,49;12.7;7,456
35;white;7,1;0,36;0,37;4,8;0,019;39;114;0,99036;3,08;0,49;12.7;7,456
36;white;6,8;0,26;0,26;2;0,019;23.5;72;0,99041;3,16;0,47;11.8;6
37;white;NA;0,2;0,3;0,9;0,019;4;28;0,98931;3,2;0,36;12;6
38;white;7,1;0,2;0,3;0,9;0,019;4;28;0,98931;3,2;0,36;12;6
39;white;7,4;0,25;NA;6,9;0,02;14;93;0,9939;3;0,48;10.7;7
40;white;7,2;0,32;0,3;8,25;0,02;14;104;0,99362;NA;0,44;11.4;6
41;white;7,2;0,32;0,3;8,25;0,02;14;104;0,99362;2,99;0,44;11.4;6
